idInicio,idFinal,pendiente,agregadaPor,esVerificada,esCiclovia,distancia,ponderacionRapidez,ponderacionCiclovia,ponderacionPendiente,nombreRuta,tieneIncidente
33,32,-0.5,admin,false,true,169.0917205810547,0.20041025,0.019581197,0.39246365,De Ciclovía Hangar Militar Bicentenario a Ciclo Via Bicentenario Bomberos,false
33,34,0.5,admin,false,true,380.3605041503906,0.2904731,0.04404659,0.45525718,De Ciclovía Hangar Militar Bicentenario a Parque de Ferias Quito Turismo,false
34,33,-0.5,admin,false,true,380.3605041503906,0.27380642,0.04404659,0.4108127,De Parque de Ferias Quito Turismo a Ciclovía Hangar Militar Bicentenario,false
34,36,0.5,admin,false,true,681.148193359375,0.39496875,0.07887847,0.4813811,De Parque de Ferias Quito Turismo a Centro de convenciones Quito,false
36,34,-0.5,admin,false,true,681.148193359375,0.37830207,0.07887847,0.43693662,De Centro de convenciones Quito a Parque de Ferias Quito Turismo,false
36,37,-0.5,admin,false,true,54.547271728515625,0.16061674,0.006316695,0.38251528,De Centro de convenciones Quito a Entrada Ciclovía Bicentenario Amazonas,false
37,36,0.5,admin,false,true,54.547271728515625,0.17728342,0.006316695,0.42695975,De Entrada Ciclovía Bicentenario Amazonas a Centro de convenciones Quito,false
37,38,0.5,admin,false,true,148.0544891357422,0.20976846,0.017145038,0.435081,De Entrada Ciclovía Bicentenario Amazonas a Av. Amazonas - Bulevar Bicentenario,false
38,37,-0.5,admin,false,true,148.0544891357422,0.19310178,0.017145038,0.39063653,De Av. Amazonas - Bulevar Bicentenario a Entrada Ciclovía Bicentenario Amazonas,false
38,39,1.5,admin,false,true,558.362548828125,0.36897886,0.06465962,0.5151614,De Av. Amazonas - Bulevar Bicentenario a Amazonas e Issac Albeniz,false
39,38,-1.5,admin,false,true,558.362548828125,0.31897888,0.06465962,0.38182804,De Amazonas e Issac Albeniz a Av. Amazonas - Bulevar Bicentenario,false
39,40,1.5,admin,false,true,192.44418334960938,0.24185638,0.022285463,0.48338073,De Amazonas e Issac Albeniz a Amazonas y Zamora,false
40,39,-1.5,admin,false,true,192.44418334960938,0.19185638,0.022285463,0.3500474,De Amazonas y Zamora a Amazonas e Issac Albeniz,false
40,42,1.5,admin,false,true,205.80694580078125,0.24649869,0.0238329,0.48454133,De Amazonas y Zamora a Entrada Intercambiador Ciclovía Amazonas y 10 de Agosto,false
40,41,1.5,admin,false,false,121.5,0.3172099,0.81407,0.5272191,De Amazonas y Zamora a Estación El labrador,false
41,40,-1.5,admin,false,false,121.5,0.26720992,0.81407,0.3938858,De Estación El labrador a Amazonas y Zamora,false
42,40,-1.5,admin,false,true,205.80694580078125,0.19649869,0.0238329,0.351208,De Entrada Intercambiador Ciclovía Amazonas y 10 de Agosto a Amazonas y Zamora,false
42,43,1.5,admin,false,true,129.47007751464844,0.21997876,0.014992923,0.47791135,De Entrada Intercambiador Ciclovía Amazonas y 10 de Agosto a SalidaIntercambiador Ciclovía Amazonas y 10 de Agosto,false
42,26,-2.2,admin,false,false,1727.0826416015625,0.81333333,1.0,0.50222224,De Entrada Intercambiador Ciclovía Amazonas y 10 de Agosto a Pinos y Galo Plaza,false
43,42,-1.5,admin,false,true,129.47007751464844,0.16997877,0.014992923,0.34457803,De SalidaIntercambiador Ciclovía Amazonas y 10 de Agosto a Entrada Intercambiador Ciclovía Amazonas y 10 de Agosto,false
43,44,1.5,admin,false,true,131.7136993408203,0.22075821,0.015252738,0.4781062,De SalidaIntercambiador Ciclovía Amazonas y 10 de Agosto a Amazonas y El Inca,false
44,43,-1.5,admin,false,true,131.7136993408203,0.17075822,0.015252738,0.34477288,De Amazonas y El Inca a SalidaIntercambiador Ciclovía Amazonas y 10 de Agosto,false
44,45,1.5,admin,false,true,129.7083282470703,0.22006153,0.015020512,0.47793204,De Amazonas y El Inca a KFC el Inca,false
44,17,2.8,admin,false,true,773.0191650390625,0.46521866,0.08951733,0.5915824,De Amazonas y El Inca a El Inca y 6 de diciembre,false
45,44,-1.5,admin,false,true,129.7083282470703,0.17006153,0.015020512,0.3445987,De KFC el Inca a Amazonas y El Inca,false
45,21,1.5,admin,false,true,186.36451721191406,0.23974426,0.021581424,0.48285273,De KFC el Inca a Rio Coca y Amazonas,false
46,21,-1.5,admin,false,true,230.347900390625,0.20502439,0.026674798,0.35333943,De Estación Jipijapa a Rio Coca y Amazonas,false
